COD_AGENCIA;ZONA;AGENCIA
101;LIMA CENTRO;CAMANA              
102;LIMA OESTE;CALLAO              
103;LIMA CENTRO;CAPON               
105;LIMA ESTE;RIMAC               
106;LIMA MODERNA;EL REMANSO          
107;LIMA OESTE;FAUCETT             
108;LIMA CENTRO;BRE¥A               
109;LIMA MODERNA;LA MOLINA           
110;LIMA CENTRO;VENEZUELA 1         
111;LIMA NORTE;LOS OLIVOS          
112;LIMA CENTRO;MEXICO              
113;LIMA NORTE;INGENIERIA          
114;LIMA SUR;BARRANCO            
115;LIMA CENTRO;LA VICTORIA         
116;LIMA NORTE;COMAS               
117;LIMA MODERNA;LARCO-TARATA        
118;LIMA CENTRO;BOLIVAR             
119;LIMA MODERNA;SAN ANTONIO         
120;LIMA OESTE;UNIVERSIDAD CATOLICA
121;LIMA SUR;CLUB REGATAS LIMA   
122;LIMA OESTE;MAGDALENA           
123;LIMA MODERNA;CAMINO REAL         
124;LIMA CENTRO;PARINACOCHAS        
125;LIMA SUR;CHORRILLOS          
126;LIMA CENTRO;LA COLMENA          
127;LIMA OESTE;MINKA               
128;LIMA ESTE;LAS FLORES          
129;LIMA ESTE;VITARTE             
130;LIMA CENTRO;LIMA                
131;LIMA CENTRO;NICOLAS ARRIOLA 1   
132;LIMA CENTRO;VENEZUELA 2         
133;LIMA SUR;VILLA MA.DEL TRIUNFO
135;LIMA SUR;SAN JUAN MIRAFLORES 
136;LIMA ESTE;SALAMANCA           
137;LIMA SUR;VILLA MARINA        
138;LIMA MODERNA;C.C. AURORA         
139;LIMA ESTE;ZARATE              
140;LIMA CENTRO;JESUS MARIA         
141;LIMA NORTE;PERU
142;LIMA MODERNA;C.C. SAN ISIDRO     
143;LIMA NORTE;V.A.BELAUNDE        
144;LIMA CENTRO;GAMARRA             
145;LIMA MODERNA;RINCONADA           
146;LIMA ESTE;CERES               
147;LIMA CENTRO;ARENALES            
148;LIMA CENTRO;C.C. SUCRE          
149;LIMA MODERNA;SURQUILLO           
150;LIMA MODERNA;HIGUERETA           
151;LIMA OESTE;MARANGA             
152;LIMA MODERNA;SAN BORJA           
153;LIMA CENTRO;C.C. RISSO          
155;LIMA ESTE;CARRETERA CENTRAL   
156;LIMA MODERNA;PARDO               
157;LIMA SUR;C.C. LAS GARDENIAS  
160;LIMA MODERNA;C.C. MONTERRICO     
161;LIMA CENTRO;LINCE               
162;LIMA OESTE;AEROPUERTO          
163;LIMA CENTRO;APOLO               
164;LIMA CENTRO;VENEZUELA 3         
165;LIMA OESTE;BASE NAVAL          
166;LIMA OESTE;COLONIAL            
167;LIMA CENTRO;PLAZA BOLOGNESI     
168;LIMA OESTE;REPSOL              
169;LIMA MODERNA;COMANDANTE ESPINAR  
170;LIMA CENTRO;AV. SUCRE           
171;LIMA MODERNA;LOS ROSALES         
172;LIMA NORTE;FIORI               
174;LIMA NORTE;MEGA PLAZA          
175;LIMA CENTRO;REAL PZ.CTRO.CIVICO 
176;LIMA NORTE;EL TREBOL           
177;LIMA ESTE;SAMUEL DE ALCAZAR   
178;LIMA MODERNA;CAMACHO             
179;LIMA MODERNA;CAVENECIA           
180;LIMA CENTRO;MERCADO RISSO       
181;LIMA MODERNA;REPUBLICA DE PANAMA 
182;LIMA MODERNA;SANTA MONICA        
183;LIMA ESTE;SANTA ANITA         
184;LIMA CENTRO;SAN FELIPE          
185;LIMA MODERNA;TOMAS MARSANO       
186;LIMA MODERNA;C.C. SAN BORJA      
187;LIMA MODERNA;ARAMBURU            
188;LIMA MODERNA;LA ENCALADA         
189;LIMA CENTRO;DOS DE MAYO         
190;LIMA OESTE;C.C. SAN MIGUEL     
191;LIMA MODERNA;CORPAC              
192;LIMA OESTE;BELLAVISTA          
193;LIMA OESTE;LA PERLA            
194;LIMA MODERNA;CHACARILLA          
195;LIMA MODERNA;CUARTEL GENERAL     
196;LIMA NORTE;SAN MARTIN DE PORRES
197;LIMA CENTRO;NICOLAS ARRIOLA 2   
199;ADMINISTRATIVA;ADMINISTRATIVA
200;PROVINCIA SUR;CUSCO               
201;PROVINCIA SUR;WANCHAQ             
202;PROVINCIA SUR;AYACUCHO            
203;PROVINCIA SUR;SAN MARTIN - ICA    
204;EMPRESA;EMPRESA
205;PROVINCIA SUR;TINTAYA             
210;PROVINCIA CENTRO ORIENTE;HUANUCO             
211;PROVINCIA SUR;CA¥ETE              
215;PROVINCIA SUR;CHINCHA             
216;PROVINCIA NORTE;OPEN PLAZA CHICLAYO 
218;PROVINCIA SUR;QUILLABAMBA         
220;PROVINCIA SUR;AREQUIPA            
221;PROVINCIA SUR;SAN CAMILO          
222;PROVINCIA SUR;MIRAFLORES - AQP    
223;PROVINCIA SUR;CAYMA               
225;PROVINCIA SUR;CAMANA-AREQUIPA     
226;PROVINCIA SUR;PARQUE INDUSTRIAL   
227;PROVINCIA NORTE;LLACUABAMBA         
228;PROVINCIA SUR;JULIACA             
229;PROVINCIA SUR;PUNO                
231;PROVINCIA SUR;ILO                 
232;PROVINCIA SUR;TACNA               
233;PROVINCIA CENTRO ORIENTE;7 DE JUNIO          
234;LIMA SUR;PQUE IND SALVADOR   
235;PROVINCIA CENTRO ORIENTE;HUANCAYO            
236;PROVINCIA CENTRO ORIENTE;LA OROYA            
237;PROVINCIA CENTRO ORIENTE;EL TAMBO            
238;PROVINCIA CENTRO ORIENTE;LA MERCED           
239;EMPRESA;EMPRESA
240;PROVINCIA SUR;ICA                 
241;PROVINCIA SUR;PISCO               
242;LIMA CENTRO;DAMERO GAMARRA      
244;LIMA CENTRO;ESPECIAL GAMARRA    
