CONTRATO;CODIGO;DESEMBOLSO;SALDO_REAL;MONTO_CUOTA;NUMERO_CUOTAS;CUOTAS_PAGADAS;CUOTAS_PENDIENTES;TASA;FECHA_ALTA;FECHA_VENCIMIENTO;COD_PRODUCTO
712232;69214045605;7000;5692;200;48;12;36;17;28/01/2010;17/02/2014;P001
703497;169218115675;28416;14390;524;60;33;27;10,99;06/05/2008;30/05/2013;V001
710458;369230359619;35705;28851;872;58;16;42;16;31/08/2009;04/08/2014;V001
699672;269087210330;1875;245;51;48;43;5;13,9;17/07/2007;17/07/2011;P001
701914;269219224584;271150;224762;3471;120;31;89;9,5;30/07/2008;30/07/2018;H001
701981;269219224584;574200;552192;12354;60;3;57;10,9;10/11/2010;10/11/2015;C001
705659;769224726456;10050;9373;347;36;3;33;15,5;22/11/2010;22/11/2013;P001
711368;169143141211;159500;150901;1460;240;33;207;9,5;08/05/2008;08/05/2028;H001
698752;269223233403;4500;3324;174;36;15;21;25;13/08/2008;30/08/2011;P001
705104;869208876616;315720;314242;2895;240;4;236;9,5;28/10/2010;30/10/2030;H001
706222;469085430700;74690;22181;3901;23;17;6;20,5;18/08/2009;18/08/2011;C001
710605;369214395185;39628;32495;734;48;9;39;8,99;14/05/2010;27/05/2014;V001
699030;869226817717;6750;5828;248;35;10;25;18,9;28/02/2009;27/02/2012;P001
699368;569204519319;322000;305848;2889;240;30;210;9,2;12/08/2008;16/08/2028;H001
705299;769200793023;70000;48380;893;180;100;80;13;11/10/2002;11/10/2017;H001
705305;769200793023;100000;83155;1344;120;32;88;10,75;01/07/2008;01/07/2018;H001
705329;769200793023;15000;11268;947;18;5;13;16,5;03/09/2010;20/03/2012;P001
713373;869072882552;92800;62109;989;143;55;88;10,25;04/07/2006;30/06/2018;H001
708056;969224991101;80000;58182;1752;60;20;40;11,75;15/06/2009;15/06/2014;H001
712922;569205514684;53917;34745;613;180;15;165;11,5;04/02/2005;28/02/2020;H002
712923;569205514684;13415;4396;948;30;2;28;11,5;04/02/2005;28/02/2020;H002
712138;69214015245;6500;5069;186;48;14;34;17;21/11/2009;17/12/2013;P001
714287;569205514684;9000;324;367;36;8;28;30;15/09/2005;20/09/2008;P001
700693;369216321231;18000;3466;143;36;6;30;18,15;03/08/2010;03/08/2013;P001
705478;969201933033;21500;18817;508;59;13;46;14,9;27/10/2008;01/10/2013;P001
707126;969232963893;15700;15700;395;59;0;59;17,5;27/01/2011;25/01/2016;P001
698446;869201868418;85500;84456;777;240;8;232;9,39;30/06/2010;30/06/2030;H004
698447;869201868418;12500;12353;695;40;1;39;9,39;30/06/2010;30/06/2030;H004
700983;569226514284;244100;239896;2165;239;12;227;9;26/02/2010;01/02/2030;H001
704129;69210079169;180279;179922;1478;237;2;235;9;28/09/2010;30/09/2030;H001
707047;769075747977;100000;96306;1396;120;8;112;11,75;25/06/2010;25/06/2020;H001
705367;969221906116;6000;5173;219;35;6;29;18,15;30/07/2010;02/07/2013;P001
701427;969207921771;36559;34815;636;60;3;57;8,25;19/11/2010;30/11/2015;V001
711422;269206251001;5000;1084;144;48;40;8;18;16/10/2007;17/10/2011;P001
707063;869213800680;35000;23423;2284;17;5;12;14,9;06/08/2010;02/02/2012;P001
712257;269232221271;7000;5658;199;48;12;36;17;11/02/2010;17/02/2014;P001
712808;69099068008;104400;49793;1430;120;78;42;11,25;12/08/2004;12/08/2014;H001
697866;469212406966;22515;7838;751;35;24;11;10,99;15/01/2009;07/01/2012;V001
697842;869117888828;11200;11200;419;35;0;35;19,5;23/02/2011;17/02/2014;P001
704276;69229029109;39000;27517;886;60;22;38;13,5;08/04/2009;08/04/2014;H001
707410;569233579729;87830;87830;1113;120;0;120;9,25;09/02/2011;28/02/2021;H004
707411;569233579729;12500;12500;969;20;0;20;9,25;09/02/2011;28/02/2021;H004
710563;569232554934;36166;34300;884;58;9;49;16;24/03/2010;02/03/2015;V001
698169;69207039849;23500;12895;572;60;34;26;17;04/04/2008;27/04/2013;P001
701031;169208175575;12000;6286;284;60;34;26;15,5;09/04/2008;28/04/2013;P001
712196;369216329989;7000;5562;200;48;13;35;17;31/12/2009;17/01/2014;P001
713133;669217620120;51040;39666;583;180;63;117;11,5;11/11/2005;30/11/2020;H002
713134;669217620120;12760;10063;900;30;10;20;11,5;11/11/2005;30/11/2020;H002
700115;869204821421;3262;990;207;18;16;2;18;19/12/2006;19/12/2008;P001
705435;369229371221;4000;3627;424;10;1;9;12,5;21/01/2011;30/11/2011;P001
705459;369202304694;15500;6081;385;60;42;18;18;11/08/2007;22/08/2012;P001
710045;969220930300;3000;1142;154;24;19;5;22,9;06/02/2008;28/02/2010;P001
710354;269229251921;38636;28336;944;58;21;37;16;30/03/2009;03/03/2014;V001
709691;669212622862;3000;1954;156;23;9;14;20,15;30/04/2010;18/04/2012;P001
702408;169231182622;3000;1429;299;11;6;5;20,15;21/07/2010;02/07/2011;P001
704092;969207986966;300000;282864;3129;180;21;159;9,75;14/05/2009;24/05/2024;H001
703768;769204718588;100000;100000;101991;1;0;1;24;17/12/2010;19/09/2011;C001
710538;669231685365;29069;24507;640;60;12;48;11,99;05/02/2010;05/02/2015;V001
712038;769214743523;7000;4838;221;42;16;26;17;21/09/2009;17/04/2013;P001
