CODIGO;CTA_AHORRO;SALDO_AHORRO;CTA_PLAZO;SALDO_PLAZO;CTA_FONDO;SALDO_FONDO;CTA_CTS;SALDO_CTS;CTA_PRESTAMO;SALDO_PRESTAMO;CTA_HIPOTECARIO;SALDO_HIPOTECARIO;CTA_TARJETA;SALDO_TARJETA
669236603003;2;127;0;0;0;0;1;108;0;0;0;0;0;0
569236580160;1;28;0;0;0;0;1;120;0;0;0;0;0;0
569236582072;1;78;0;0;0;0;1;0;0;0;0;0;0;0
569236583833;1;4;0;0;0;0;0;0;0;0;0;0;0;0
569236584964;1;86;0;0;0;0;1;115;0;0;0;0;0;0
569236586586;2;0;0;0;0;0;0;0;0;0;0;0;0;0
569236587027;1;1629;0;0;0;0;1;88;0;0;0;0;0;0
569236589249;1;291;0;0;0;0;1;337;0;0;0;0;0;0
569236570960;1;0;0;0;0;0;0;0;0;0;0;0;0;0
569236571171;1;12;0;0;0;0;0;0;0;0;0;0;0;0
569236571401;1;6;0;0;0;0;0;0;0;0;0;0;0;0
569236571861;1;3373;0;0;1;10233;0;0;0;0;0;0;0;0
569236571921;1;0;0;0;0;0;0;0;0;0;0;0;0;0
569236572332;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237063603;0;0;0;0;0;0;0;0;0;0;0;0;1;0
69237066016;1;22;0;0;0;0;0;0;0;0;0;0;0;0
69237066956;2;29;0;0;0;0;0;0;0;0;0;0;0;0
69237068638;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237069789;1;45;0;0;0;0;0;0;0;0;0;0;0;0
69237051231;1;33;0;0;0;0;1;41;0;0;0;0;0;0
69237066536;1;215;0;0;0;0;0;0;0;0;0;0;0;0
69237066556;1;8;0;0;0;0;0;0;0;0;0;0;0;0
69237067837;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237068108;1;150;0;0;0;0;0;0;0;0;0;0;0;0
69237070700;0;0;0;0;0;0;0;0;0;0;0;0;1;2561
69237050460;0;0;0;0;0;0;0;0;0;0;0;0;1;0
69237052702;1;59;0;0;0;0;0;0;0;0;0;0;0;0
69237055165;1;63;0;0;0;0;1;0;0;0;0;0;0;0
69237056156;1;80;0;0;0;0;1;0;0;0;0;0;0;0
69237057097;1;3;0;0;0;0;0;0;0;0;0;0;0;0
69237058268;1;1;0;0;0;0;0;0;0;0;0;0;0;0
69237059009;1;304;0;0;0;0;1;0;0;0;0;0;0;0
69237059259;1;335;0;0;0;0;0;0;0;0;0;0;0;0
69237060690;1;8;0;0;0;0;0;0;0;0;0;0;0;0
69237060970;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237043463;1;1022;0;0;0;0;0;0;0;0;0;0;0;0
69237045795;1;177273;0;0;0;0;0;0;0;0;0;0;0;0
69237047147;1;251;0;0;0;0;0;0;0;0;0;0;1;494
69237047347;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237048108;0;0;0;0;0;0;0;0;0;0;0;0;1;9795
69237048528;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237031351;1;138;0;0;0;0;0;0;0;0;0;0;0;0
69237031981;1;1250;0;0;0;0;1;35;0;0;0;0;0;0
69237037437;0;0;0;0;0;0;0;0;0;0;0;0;1;0
69237038098;1;48;0;0;0;0;0;0;0;0;0;0;0;0
69237038858;0;0;0;0;0;0;0;0;0;0;0;0;1;0
69237039429;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237020810;1;6310;0;0;1;0;0;0;0;0;0;0;0;0
69237021351;1;81;0;0;0;0;1;56;0;0;0;0;0;0
69237022382;1;408;0;0;0;0;0;0;0;0;0;0;0;0
69237022822;1;37;0;0;0;0;1;52;0;0;0;0;0;0
69237022892;1;217;0;0;0;0;1;52;0;0;0;0;0;0
69237023383;1;2580;0;0;0;0;0;0;0;0;0;0;0;0
69237023483;1;4584;0;0;1;14642;0;0;0;0;0;0;1;0
769235700210;1;219;0;0;0;0;1;0;0;0;0;0;0;0
769235700860;2;420;0;0;0;0;1;407;0;0;0;0;0;0
769235702712;1;399;1;0;0;0;0;0;0;0;0;0;0;0
769235704704;1;0;0;0;1;0;0;0;0;0;0;0;0;0
769235705855;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237054084;1;2697;0;0;0;0;1;0;0;0;0;0;0;0
69237055715;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237057797;1;2027;0;0;0;0;0;0;0;0;0;0;0;0
69237058428;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69237058508;1;0;0;0;0;0;0;0;0;0;0;0;0;0
